AAA66194	L08050
ABN04011	EF207187
ABN04012	EF207188
ABN04013	EF207189
ABN04014	EF207190
ABN04015	EF207191
ABN04016	EF207192
ABN04017	EF207193
ABN04018	EF207194
ABN04019	EF207195
ABN04020	EF207196
ABN04021	EF207197
ABN04022	EF207198
ABN04023	EF207199
ABN04024	EF207200
ABN04025	EF207201
ABN04026	EF207202
ABN04027	EF207203
ABN04028	EF207204
ABN04029	EF207205
ABN04030	EF207206
ABN04031	EF207207
ABN11236	EF219168
ABN11237	EF219169
ABN11238	EF219170
ABN11239	EF219171
ABN11240	EF219172
ABN11241	EF219173
ABN11242	EF219174
ABN11243	EF219175
ABN11244	EF219176
ABN11245	EF219177
ABN11246	EF219178
ABN11247	EF219179
ABN11248	EF219180
ABN11249	EF219181
ABN11250	EF219182
ABN11251	EF219183
ABN11252	EF219184
ABN11253	EF219185
ABN11254	EF219186
ABN11255	EF219187
ABN11256	EF219188
ABN11257	EF219189
ABN11258	EF219190
ABN11259	EF219191
ABN12954	EF222028
ABN12955	EF222029
ABN12956	EF222030
ABN12957	EF222031
ABN12958	EF222032
ABN12959	EF222033
ABN12960	EF222034
ABN12961	EF222035
ABN12962	EF222036
ABN12963	EF222037
ABN12964	EF222038
ABN12965	EF222039
ABN12966	EF222040
ABN12967	EF222041
ABN12968	EF222042
ABN12969	EF222043
ABN12970	EF222044
ABN12971	EF222045
ABN12972	EF222046
ABN12973	EF222047
ABN12974	EF222048
ABN12975	EF222049
ABN12976	EF222050
ABN12977	EF222051
ABN12978	EF222052
ABN12979	EF222053
ABN12980	EF222054
ABN12981	EF222055
ABN12982	EF222056
ABN12983	EF222057
ABN12984	EF222058
ABN12985	EF222059
ABN12986	EF222060
ABN12987	EF222061
ABN12988	EF222062
ABN12989	EF222063
ABN12990	EF222064
ABN12991	EF222065
ABN12992	EF222066
ABN12993	EF222067
ABN12994	EF222068
ABN12995	EF222069
ABN12996	EF222070
ABN12997	EF222071
ABN12998	EF222072
ABN12999	EF222073
ABN13000	EF222074
ABN13001	EF222075
ABN13002	EF222076
ABN13003	EF222077
ABN13004	EF222078
ABN13005	EF222079
ABN13006	EF222080
ABN13007	EF222081
ABN13008	EF222082
ABN13009	EF222083
ABN13010	EF222084
ABN13011	EF222085
ABN13012	EF222086
ABN13013	EF222087
ABN13014	EF222088
ABN13015	EF222089
ABN13016	EF222090
ABN13017	EF222091
ABN13018	EF222092
ABN13019	EF222093
ABN13020	EF222094
ABN13021	EF222095
ABN13022	EF222096
ABN13023	EF222097
ABN13024	EF222098
ABN13025	EF222099
ABN13026	EF222100
ABN13027	EF222101
ABN13028	EF222102
ABN13029	EF222103
ABN13030	EF222104
ABN13031	EF222105
ABN13032	EF222106
ABN13033	EF222107
ABN13034	EF222108
ABN13035	EF222109
ABN13036	EF222110
ABN13037	EF222111
ABN13038	EF222112
ABN13039	EF222113
ABN13040	EF222114
ABN13041	EF222115
ABN13042	EF222116
ABN13043	EF222117
ABN13044	EF222118
ABN13045	EF222119
ABN13046	EF222120
ABN13047	EF222121
ABN13048	EF222122
ABN13049	EF222123
ABN13050	EF222124
ABN13051	EF222125
ABN13052	EF222126
ABN13053	EF222127
ABN13054	EF222128
ABN13055	EF222129
ABN13056	EF222130
ABN13057	EF222131
ABN13058	EF222132
ABN13059	EF222133
ABN13060	EF222134
ABN13061	EF222135
ABN13062	EF222136
ABN13063	EF222137
ABN13064	EF222138
ABN13065	EF222139
ABN13066	EF222140
ABN13067	EF222141
ABN13068	EF222142
ABN13069	EF222143
ABN13070	EF222144
ABN13071	EF222145
ABN13072	EF222146
ABN13073	EF222147
ABN13074	EF222148
ABN13075	EF222149
ABN13076	EF222150
ABN13077	EF222151
ABN13078	EF222152
ABN13079	EF222153
ABN13080	EF222154
ABN13081	EF222155
ABN13082	EF222156
ABN13083	EF222157
ABN13084	EF222158
ABN13085	EF222159
ABN13086	EF222160
ABN13087	EF222161
ABN13088	EF222162
ABN13089	EF222163
ABN13090	EF222164
ABN13091	EF222165
ABN13092	EF222166
ABN13093	EF222167
ABN13094	EF222168
ABN13095	EF222169
ABN13096	EF222170
ABN13097	EF222171
ABN13098	EF222172
ABN13099	EF222173
ABN13100	EF222174
ABN13101	EF222175
ABN13102	EF222176
ABN13103	EF222177
ABN13104	EF222178
ABN13105	EF222179
ABN13106	EF222180
ABN13107	EF222181
ABN13108	EF222182
ABN13109	EF222183
ABN13110	EF222184
ABN13111	EF222185
ABN13112	EF222186
ABR28933	EF615038
ABR28934	EF615039
ABR28935	EF615040
ABR28936	EF615041
ABR28937	EF615042
ABR28938	EF615043
ABR28939	EF615044
ABR28940	EF615045
ABR28941	EF615046
ABR28942	EF615047
ABR28943	EF615048
ABR28944	EF615049
ABR28945	EF615050
ABR28946	EF615051
ABR28947	EF615052
ABR28948	EF615053
ABR28949	EF615054
ABR28950	EF615055
ABR28951	EF615056
ABR28952	EF615057
ABR28953	EF615058
ABR28954	EF615059
ABR28955	EF615060
ABR28956	EF615061
ABR28957	EF615062
ABR28958	EF615063
ABR28959	EF615064
ABR28960	EF615065
ABR28961	EF615066
ABR28962	EF615067
ABR28963	EF615068
ABR28964	EF615069
ABR28965	EF615070
ABR28966	EF615071
ABR28967	EF615072
ABR28968	EF615073
ABR28969	EF615074
ABR28970	EF615075
ABR28971	EF615076
ABR28972	EF615077
ABR28973	EF615078
ABR28974	EF615079
ABR28975	EF615080
ABR28976	EF615081
ABR28977	EF615082
ABR28978	EF615083
ABR28979	EF615084
ABR28980	EF615085
ABR28981	EF615086
ABR28982	EF615087
ABR28983	EF615088
ABR28984	EF615089
ABR28985	EF615090
ABR28986	EF615091
ABR28987	EF615092
ABR28988	EF615093
ABR28989	EF615094
ABR28990	EF615095
ABR28991	EF615096
ABR28992	EF615097
ABR28993	EF615098
ABR28994	EF615099
ABR28995	EF615100
ABR28996	EF615101
ABR28997	EF615102
ABR28998	EF615103
ABR28999	EF615104
ABR29000	EF615105
ABR29001	EF615106
ABR29002	EF615107
ABR29003	EF615108
ABR29004	EF615109
ABR29005	EF615110
ABR29006	EF615111
ABR29007	EF615112
ABR29008	EF615113
ABR29009	EF615114
ABR29010	EF615115
ABR29011	EF615116
ABR29012	EF615117
ABR29013	EF615118
ABR29014	EF615119
ABR29015	EF615120
ABR29016	EF615121
ABR29017	EF615122
ABR29018	EF615123
ABR29019	EF615124
ABR29020	EF615125
ABR29021	EF615126
ABR29022	EF615127
ABR29023	EF615128
ABR29024	EF615129
ABR29025	EF615130
ABR29026	EF615131
ABR29027	EF615132
ABR29028	EF615133
ABR29029	EF615134
ABR29030	EF615135
ABR29031	EF615136
ABR29032	EF615137
ABR29033	EF615138
ABR29034	EF615139
ABR29035	EF615140
ABR29036	EF615141
ABR29037	EF615142
ABR29038	EF615143
ABR29039	EF615144
ABR29040	EF615145
ABR29041	EF615146
ABR29042	EF615147
ABR29043	EF615148
ABR29044	EF615149
ABR29045	EF615150
ABR29046	EF615151
ABR29047	EF615152
ABR29048	EF615153
ABR29049	EF615154
ABR29050	EF615155
ABR29051	EF615156
ABR29052	EF615157
ABR29053	EF615158
ABR29054	EF615159
ABR29055	EF615160
ABR29056	EF615161
ABR29057	EF615162
ABR29058	EF615163
ABR29059	EF615164
ABR29060	EF615165
ABR29061	EF615166
ABR29062	EF615167
ABR29063	EF615168
ABR29064	EF615169
ABR29065	EF615170
ABR29066	EF615171
ABR29067	EF615172
ABR29068	EF615173
ABR29069	EF615174
ABR29070	EF615175
ABR29071	EF615176
ABR29072	EF615177
ABR29073	EF615178
ABR29074	EF615179
ABR29075	EF615180
ABR29076	EF615181
ABR29077	EF615182
ABR29078	EF615183
ABR29079	EF615184
ABR29080	EF615185
ABR29081	EF615186
ABR29082	EF615187
ABR29083	EF615188
ABR29084	EF615189
ABR29085	EF615190
ABR29086	EF615191
ABR29087	EF615192
ABR29088	EF615193
ABR29089	EF615194
ABR29090	EF615195
ABR29091	EF615196
ABR29092	EF615197
ABR29093	EF615198
ABR29094	EF615199
ABR29095	EF615200
ABR29096	EF615201
ABR29097	EF615202
ABR29098	EF615203
ABR29099	EF615204
ABR29100	EF615205
ABR29101	EF615206
ABR29102	EF615207
ABR29103	EF615208
ABS43120	EU010401
ABS43121	EU010402
ABV49194	EF529629
ABV49195	EF529630
ABV49196	EF529631
ABV49197	EF529632
ABV49198	EF529633
ABV49199	EF529634
ABV49200	EF529635
ABV49201	EF529636
ABV49202	EF529637
ABV49203	EF529638
ABV49204	EF529639
ABV49205	EF529640
ABV49206	EF529641
ABV49207	EF529642
ABV49208	EF529643
ABV49209	EF529644
ABV49210	EF529645
ABV49211	EF529646
ABV49212	EF529647
ABV49213	EF529648
ABV49214	EF529649
ABV90497	EU156172
ABV90498	EU156173
ABV90499	EU156174
ACJ54084	FJ210425
ACJ54085	FJ210426
ACJ54093	FJ210434
ACJ54098	FJ210439
ACJ54104	FJ210445
ACJ54105	FJ210446
ACJ54106	FJ210447
ACJ54109	FJ210450
ACJ54113	FJ210454
ACJ54120	FJ210461
ACJ54121	FJ210462
ACJ54124	FJ210465
ACY38031	GQ342681
ACY38032	GQ342682
ACY38033	GQ342683
ACY38034	GQ342684
ACY38035	GQ342685
ACY38036	GQ342686
ADE13856	CP001798
ADJ27588	CP002086
ADP00899	HM473177
ADZ25731	CP002552
ADZ26282	CP002552
ADZ27404	CP002552
ADZ75343	HQ267718
ADZ75344	HQ267719
ADZ75345	HQ267720
ADZ75346	HQ267721
ADZ75347	HQ267722
ADZ75348	HQ267723
ADZ75349	HQ267724
ADZ75350	HQ267725
ADZ75351	HQ267726
ADZ75352	HQ267727
ADZ75353	HQ267728
ADZ75354	HQ267729
ADZ75355	HQ267730
ADZ75356	HQ267731
ADZ75357	HQ267732
AEJ00354	CP002876
AEJ00940	CP002876
AEJ02636	CP002876
AFI41460	JQ955226
AFI41461	JQ955227
AFI41462	JQ955228
AFI41463	JQ955229
AFI41464	JQ955230
AFI41465	JQ955231
AFI41466	JQ955232
AFI41467	JQ955233
AFI41468	JQ955234
AFI41469	JQ955235
AFI41470	JQ955236
AFI41471	JQ955237
AFI41472	JQ955238
AFI41473	JQ955239
AFI41474	JQ955240
AFI41475	JQ955241
AFI41476	JQ955242
AFI41477	JQ955243
AFI41478	JQ955244
AFI41479	JQ955245
AFI41480	JQ955246
AFI41481	JQ955247
AFI41482	JQ955248
AFI41483	JQ955249
AFI41484	JQ955250
AFI41485	JQ955251
AFI41486	JQ955252
AFI41487	JQ955253
AFI41488	JQ955254
AFI41489	JQ955255
AFI41490	JQ955256
AFI41491	JQ955257
AFI41492	JQ955258
AFI41493	JQ955259
AFI41494	JQ955260
AFI41495	JQ955261
AFI41496	JQ955262
AFI41497	JQ955263
AFI41498	JQ955264
AFI41499	JQ955265
AFI41500	JQ955266
AFI41501	JQ955267
AFI41502	JQ955268
AFI41503	JQ955269
AFI41504	JQ955270
AFI41505	JQ955271
AFI41506	JQ955272
AFI41507	JQ955273
AFI41508	JQ955274
AFI41509	JQ955275
AFI41510	JQ955276
AFI41511	JQ955277
AFI41512	JQ955278
AFI41513	JQ955279
AFI41514	JQ955280
AFI41515	JQ955281
AFI41516	JQ955282
AFI41517	JQ955283
AFI41518	JQ955284
AFI41519	JQ955285
AFI41520	JQ955286
AFI41521	JQ955287
AFI41522	JQ955288
AFI41523	JQ955289
AFI41524	JQ955290
AFI41525	JQ955291
AFI41526	JQ955292
AFI41527	JQ955293
AFI41528	JQ955294
AFI41529	JQ955295
AFI41530	JQ955296
AFI41531	JQ955297
AFI41532	JQ955298
AFI41533	JQ955299
AFI41534	JQ955300
AFI41535	JQ955301
AFI41536	JQ955302
AFI41537	JQ955303
AFI41538	JQ955304
AFI41539	JQ955305
AFI41540	JQ955306
AFI41541	JQ955307
AFI41542	JQ955308
AFI41543	JQ955309
AFI41544	JQ955310
AFI41545	JQ955311
AFI41546	JQ955312
AFI41547	JQ955313
AFI41548	JQ955314
AFI41549	JQ955315
AFI41550	JQ955316
AFI41551	JQ955317
AFI41552	JQ955318
AFI41553	JQ955319
AFI41554	JQ955320
AFI41555	JQ955321
AFI41556	JQ955322
AFI41557	JQ955323
AFI41558	JQ955324
AFI41559	JQ955325
AFI41560	JQ955326
AFI41561	JQ955327
AFI41562	JQ955328
AFI41563	JQ955329
AFI41564	JQ955330
AFI41565	JQ955331
AFI41566	JQ955332
AFI41567	JQ955333
AFI41568	JQ955334
AFI41569	JQ955335
AFI41570	JQ955336
AFI41571	JQ955337
AFI41572	JQ955338
AFI41573	JQ955339
AFI41574	JQ955340
AFI41575	JQ955341
AFI41576	JQ955342
AFI41577	JQ955343
AFI41578	JQ955344
AFI41579	JQ955345
AFI41580	JQ955346
AFI41581	JQ955347
AFI41582	JQ955348
AFI41583	JQ955349
AFI41584	JQ955350
AFI41585	JQ955351
AFI41586	JQ955352
AFI41587	JQ955353
AFI41588	JQ955354
AFI41589	JQ955355
AFI41590	JQ955356
AFI41591	JQ955357
AFI41592	JQ955358
AFI41593	JQ955359
AFI41594	JQ955360
AFI41595	JQ955361
AFI41596	JQ955362
AFI41597	JQ955363
AFI41598	JQ955364
AFI41599	JQ955365
AFI41600	JQ955366
AFI41601	JQ955367
AFI41602	JQ955368
AFI41603	JQ955369
AFI41604	JQ955370
AFI41605	JQ955371
AFI41606	JQ955372
AFI41607	JQ955373
AFI41608	JQ955374
AFI41609	JQ955375
AFI41610	JQ955376
AFI41611	JQ955377
AFI41612	JQ955378
AFI41613	JQ955379
AFI41614	JQ955380
AFI41615	JQ955381
AFI41616	JQ955382
AFI41617	JQ955383
AFI41618	JQ955384
AFI41619	JQ955385
AFI41620	JQ955386
AFI41621	JQ955387
AFI41622	JQ955388
AFI41623	JQ955389
AFI41624	JQ955390
AFI41625	JQ955391
AFI41626	JQ955392
AFI41627	JQ955393
AFI41628	JQ955394
AFI41629	JQ955395
AFI41630	JQ955396
AFI41631	JQ955397
AFI41632	JQ955398
AFI41633	JQ955399
AFI41634	JQ955400
AFI41635	JQ955401
AFI41636	JQ955402
AFI41637	JQ955403
AFI41638	JQ955404
AFI41639	JQ955405
AFI41640	JQ955406
AFI41641	JQ955407
AFI41642	JQ955408
AFI41643	JQ955409
AFI41644	JQ955410
AFI41645	JQ955411
AFI41646	JQ955412
AFI41647	JQ955413
AFI41648	JQ955414
AFI41649	JQ955415
AFI41650	JQ955416
AFI41651	JQ955417
AFI41652	JQ955418
AFI41653	JQ955419
AFI41654	JQ955420
AFI41655	JQ955421
AFI41656	JQ955422
AFI41657	JQ955423
AFI41658	JQ955424
AFI41659	JQ955425
AFI41660	JQ955426
AFI41661	JQ955427
AFI41662	JQ955428
AFI41663	JQ955429
AFI41664	JQ955430
AFI41665	JQ955431
AFI41666	JQ955432
AFI41667	JQ955433
AFI41668	JQ955434
AFI41669	JQ955435
AFI41670	JQ955436
AFI41671	JQ955437
AFI41672	JQ955438
AFI41673	JQ955439
AFI41674	JQ955440
AFI41675	JQ955441
AFI41676	JQ955442
AFI41677	JQ955443
AFI41678	JQ955444
AFI41679	JQ955445
AFI41680	JQ955446
AFI41681	JQ955447
AFI41682	JQ955448
AFI41683	JQ955449
AFI41684	JQ955450
AFI41685	JQ955451
AFI41686	JQ955452
AFI41687	JQ955453
AFI41688	JQ955454
AFI41689	JQ955455
AFI41690	JQ955456
AFI41691	JQ955457
AFI41692	JQ955458
AFI41693	JQ955459
AFI41694	JQ955460
AFI41695	JQ955461
AFI41696	JQ955462
AFI41697	JQ955463
AFI41698	JQ955464
AFI41699	JQ955465
AFI41700	JQ955466
AFI41701	JQ955467
AFI41702	JQ955468
AFI41703	JQ955469
AFI41704	JQ955470
AFI41705	JQ955471
AFI41706	JQ955472
AFI41707	JQ955473
AFI41708	JQ955474
AFI41709	JQ955475
AFI41710	JQ955476
AFI41711	JQ955477
AFI41712	JQ955478
AFI41713	JQ955479
AFI41714	JQ955480
AFI41715	JQ955481
AFI41716	JQ955482
AFI41717	JQ955483
AFI41718	JQ955484
AFI41719	JQ955485
AFI41720	JQ955486
AFI41721	JQ955487
AFI41722	JQ955488
AFI41723	JQ955489
AFI41724	JQ955490
AFI41725	JQ955491
AFI41726	JQ955492
AFI41727	JQ955493
AFI41728	JQ955494
AFI41729	JQ955495
AFI41730	JQ955496
AFI41731	JQ955497
AFI41732	JQ955498
AFI41733	JQ955499
AFI41734	JQ955500
AFI41735	JQ955501
AFI41736	JQ955502
AFI41737	JQ955503
AFI41738	JQ955504
AFI41739	JQ955505
AFI41740	JQ955506
AFI41741	JQ955507
AFI41742	JQ955508
AFI41743	JQ955509
AFI41744	JQ955510
AFI41745	JQ955511
AFI41746	JQ955512
AFI41747	JQ955513
AFI41748	JQ955514
AFI41749	JQ955515
AFI41750	JQ955516
AFI41751	JQ955517
AFI41752	JQ955518
AFI41753	JQ955519
AFI41754	JQ955520
AFI41755	JQ955521
AFI41756	JQ955522
AFI41757	JQ955523
AFI41758	JQ955524
AFI41759	JQ955525
AFI41760	JQ955526
AFI41761	JQ955527
AFI41762	JQ955528
AFI41763	JQ955529
AFI41764	JQ955530
AFI41765	JQ955531
AFI41766	JQ955532
AFI41767	JQ955533
AFI41768	JQ955534
AFI41769	JQ955535
AFI41770	JQ955536
AFI41771	JQ955537
AFI41772	JQ955538
AFI41773	JQ955539
AFI41774	JQ955540
AFL48313	JQ735265
AFL48314	JQ735266
AFL48315	JQ735267
AFL48316	JQ735268
AFL48317	JQ735269
AFL48318	JQ735270
AFL48319	JQ735271
AFL48320	JQ735272
AFL48321	JQ735273
AFL48322	JQ735274
AFL48323	JQ735275
AFL48324	JQ735276
AFL48325	JQ735277
AFL48326	JQ735278
AFL48327	JQ735279
AFL48328	JQ735280
AFL48329	JQ735281
AFL48330	JQ735282
AFL48331	JQ735283
AFL48332	JQ735284
AFL48333	JQ735285
AFL48334	JQ735286
AFL48335	JQ735287
AFL48336	JQ735288
AFL48337	JQ735289
AFL48338	JQ735290
AFL48339	JQ735291
AFL48340	JQ735292
AFL48341	JQ735293
AFL48342	JQ735294
AFL48343	JQ735295
AFL48344	JQ735296
AFL48345	JQ735297
AFL48346	JQ735298
AFL48347	JQ735299
AFL48348	JQ735300
AFL48349	JQ735301
AFL48350	JQ735302
AFL48351	JQ735303
AFL48352	JQ735304
AFL48353	JQ735305
AFL48354	JQ735306
AFL48355	JQ735307
AFL48356	JQ735308
AFL48357	JQ735309
AFL48358	JQ735310
AFL48359	JQ735311
AFL48360	JQ735312
AFL48361	JQ735313
AFL48362	JQ735314
AFL48363	JQ735315
AFL48364	JQ735316
AFL48365	JQ735317
AFL48366	JQ735318
AFL48367	JQ735319
AFL48368	JQ735320
AFL48369	JQ735321
AFL48370	JQ735322
AFL48371	JQ735323
AFL48372	JQ735324
AFL48373	JQ735325
AFL48374	JQ735326
AFL48375	JQ735327
AFL48376	JQ735328
AFL48377	JQ735329
AFL48378	JQ735330
AFL48379	JQ735331
AFL48380	JQ735332
AFL48381	JQ735333
AFL48382	JQ735334
AFL48383	JQ735335
AFL48384	JQ735336
AFL48385	JQ735337
AFL48386	JQ735338
AFL48387	JQ735339
AFL48388	JQ735340
AFL48389	JQ735341
AFL48390	JQ735342
AFL48391	JQ735343
AFL48392	JQ735344
AFL48393	JQ735345
AFL48394	JQ735346
AFL48395	JQ735347
AFL48396	JQ735348
AFL48397	JQ735349
AFL48398	JQ735350
AFL48399	JQ735351
AFL48400	JQ735352
AFL48401	JQ735353
AFL48402	JQ735354
AFL48403	JQ735355
AFL48404	JQ735356
AFL48405	JQ735357
AFL48406	JQ735358
AFL48407	JQ735359
AFL48408	JQ735360
AFL48409	JQ735361
AFL48410	JQ735362
AFL48411	JQ735363
AFL48412	JQ735364
AFL48413	JQ735365
AFL48414	JQ735366
AFL48415	JQ735367
AFL48416	JQ735368
AFL48417	JQ735369
AFL48418	JQ735370
AFL48419	JQ735371
AFL48420	JQ735372
AFL48421	JQ735373
AFL48422	JQ735374
AFL48423	JQ735375
AFL48424	JQ735376
AFL48425	JQ735377
AFL48426	JQ735378
AFL48427	JQ735379
AFL48428	JQ735380
AFL48429	JQ735381
AFL48430	JQ735382
AFL48431	JQ735383
AFL48432	JQ735384
AFL48433	JQ735385
AFL48434	JQ735386
AFL48435	JQ735387
AFL48436	JQ735388
AFL48437	JQ735389
AFL48438	JQ735390
AFL48439	JQ735391
AFL48440	JQ735392
AFL48441	JQ735393
AFL48442	JQ735394
AFL48443	JQ735395
AFL48444	JQ735396
AFL48445	JQ735397
AFL48446	JQ735398
AFL48447	JQ735399
AFL48448	JQ735400
AFL48449	JQ735401
AFL48450	JQ735402
AFL48451	JQ735403
AFL48452	JQ735404
AFL48453	JQ735405
AFL48454	JQ735406
AFL48455	JQ735407
AFL48456	JQ735408
AFL48457	JQ735409
AFL48458	JQ735410
AFL48459	JQ735411
AFL48460	JQ735412
AFL48461	JQ735413
AFL48462	JQ735414
AFL48463	JQ735415
AFL48464	JQ735416
AFL48465	JQ735417
AFL48466	JQ735418
AFL48467	JQ735419
AFL48468	JQ735420
AFL48469	JQ735421
AFL48470	JQ735422
AFL48471	JQ735423
AFL48472	JQ735424
AFL48473	JQ735425
AFL48474	JQ735426
AFL48475	JQ735427
AFL48476	JQ735428
AFL48477	JQ735429
AFL48478	JQ735430
AFL48479	JQ735431
AFL48480	JQ735432
AFL48481	JQ735433
AFL48482	JQ735434
AFL48483	JQ735435
AFL48484	JQ735436
AFL48485	JQ735437
AFL48486	JQ735438
AFL48487	JQ735439
AFL48488	JQ735440
AGC92895	KC112480
AGC92896	KC112481
AGC92897	KC112482
AGC92898	KC112483
AGC92899	KC112484
AGC92900	KC112485
AGC92901	KC112486
AGC92902	KC112487
AGC92903	KC112488
AGC92904	KC112489
AGC92905	KC112490
AGC92906	KC112491
AGC92907	KC112492
AGC92908	KC112493
AGC92909	KC112494
AGC92910	KC112495
AGC92911	KC112496
AGC92912	KC112497
AGC92913	KC112498
AGC92914	KC112499
AGC92915	KC112500
AGC92916	KC112501
AGC92917	KC112502
AGC92918	KC112503
BAA92239	AB031869
BAB84328	AB079054
BAB84331	AB079055
BAD14894	AB113640
BAD15293	AB176702
CAA62334	X90821
CAA62336	X90822
CAC84850	AJ317947
CAC84851	AJ317948
CAD62075	AJ538096
CAD62076	AJ538097
CAD62077	AJ538098
CAD62079	AJ538100
CAD62080	AJ538101
CAD62081	AJ538102
CAD62082	AJ538103
CAD62083	AJ538104
CAD62084	AJ538105
CAD62085	AJ538106
CAD62086	AJ538107
CAD62087	AJ538108
CAD62088	AJ538109
CAD62089	AJ538110
CAD62090	AJ538111
CAD62091	AJ538112
CAD62092	AJ538113
CAD62093	AJ538114
CAD62094	AJ538115
CAD62095	AJ538116
CAD62096	AJ538117
CAD62097	AJ538118
CAD62098	AJ538119
CAD62099	AJ538120
CAD62100	AJ538121
CAD62101	AJ538122
CAD62102	AJ538123
CAD62103	AJ538124
CAD62104	AJ538125
CAD62105	AJ538126
CAD62106	AJ538127
CAD62107	AJ538128
CAD62108	AJ538129
CAD62109	AJ538130
CAD62110	AJ538131
CAD62111	AJ538132
CAD62112	AJ538133
CAD62113	AJ538134
CAD62114	AJ538135
CAD62115	AJ538136
CAD62116	AJ538137
CAD62117	AJ538138
CAD62118	AJ538139
CAD62119	AJ538140
CAD62120	AJ538141
CAD62121	AJ538142
CAD62122	AJ538143
CAD62123	AJ538144
CAD62124	AJ538145
CAD62125	AJ538146
CAD62126	AJ538147
CAD62127	AJ538148
CAD62128	AJ538149
CAD62129	AJ538150
CAD62130	AJ538151
CAD62131	AJ538152
CAD62132	AJ538153
CAD62133	AJ538154
CAD62134	AJ538155
CAD62135	AJ538156
CAD62136	AJ538157
CAD62137	AJ538158
CAD62138	AJ538159
CAD62142	AJ538163
CAD62143	AJ538164
CAD62144	AJ538165
CAD62145	AJ538166
CAD62146	AJ538167
CAD62147	AJ538168
CAD62148	AJ538169
CAD62149	AJ538170
CAD62150	AJ538171
CAD62151	AJ538172
CAD62152	AJ538173
CAD62153	AJ538174
CAD62154	AJ538175
CAD62155	AJ538176
CAD62156	AJ538177
CAD62157	AJ538178
CAD62158	AJ538179
CAD62386	AJ539315
CAD62387	AJ539316
CAD62388	AJ539317
CAD62389	AJ539318
CAD62390	AJ539319
CAD62391	AJ539320
CAD62392	AJ539321
CAD62393	AJ539322
CAD62394	AJ539323
CAD62395	AJ539324
CAD62396	AJ539325
CAD62397	AJ539326
CAD62398	AJ539327
CAD62399	AJ539328
CAD62400	AJ539329
CAD62401	AJ539330
CAD62402	AJ539331
CAD62403	AJ539332
CAD62404	AJ539333
CAD62405	AJ539334
CAD62406	AJ539335
CAD62407	AJ539336
CAD62408	AJ539337
CAD62409	AJ539338
CAD62410	AJ539339
CAD62411	AJ539340
CAD62412	AJ539341
CAD62413	AJ539342
CAD62414	AJ539343
CAD62415	AJ539344
CAD62416	AJ539345
CAD62417	AJ539346
CAD62418	AJ539347
CAD62419	AJ539348
CAD62420	AJ539349
CAD62421	AJ539350
CAD62422	AJ539351
CAD62423	AJ539352
CAD62424	AJ539353
CAD84855	AL954747
CAD85974	AL954747
KFI18754	JPGN01000075
KFI21872	JPFN01000115
KIO48008	JXQM01000023
SCX29452	FMTW01000055
SDW98167	FNNX01000068
SDX13811	FNNM01000040
SEA41232	FNQL01000008
SEF68642	FNVK01000006
SEJ33789	FNYF01000053
SET51056	FOID01000069
SKA09313	FUWK01000078
